Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Модель,Винтаж,Наличие коробки,Наличие сертификата,Ценовая категория,Метод производства,Легенда,Цена
INT M,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Twist,0,0,0,Люксовые,Произведенные на фабрике,1,200000
INT M,Сумки через плечо,FURLA,Кожа,Темно-синий,Средние ручки,0,Отличное состояние,Ordinary,0,1,0,Дорогие,Произведенные на фабрике,0,30000
INT M,Сумки тоут,MICHAEL KORS,Другое,Мульти,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,15000
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,379000
INT S,Сумки тоут,MICHAEL KORS,Искусственная кожа,Голубой,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,17000
INT S,Сумки через плечо,TOM FORD,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,90000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Лакированная кожа,Бежевый,Короткие ручки,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,153000
INT XS,Поясные сумки,HERMES PRE-OWNED,Кожа,Голубой,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,405000
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,375000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Зеленый,Средние ручки,1,Новое с биркой,Birkin,0,1,0,Экстремально люксовые,Сделанные вручную,1,2720000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Короткие ручки,0,Отличное состояние,Birkin,1,0,0,Экстремально люксовые,Сделанные вручную,1,700000
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,925000
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,369000
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,0,Новое с биркой,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,2790000
INT U,Сумки тоут,FURLA,Кожа,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,14000
INT U,Рюкзаки,CALVIN KLEIN,Другое,Серый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,13500
INT L,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Коричневый,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,535000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Коричневый,Длинный ремень,1,Хорошее состояние,Ordinary,1,0,0,Экстремально люксовые,Сделанные вручную,0,206000
INT S,Сумки с короткими ручками,ULYANA SERGEENKO,Экзотическая кожа,Коричневый,Короткие ручки,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,333000
INT U,Сумки через плечо,TOM FORD,Кожа,Антрацит,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,58000
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,330000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,1080000
INT M,Сумки с короткими ручками,ULYANA SERGEENKO,Экзотическая кожа,Белый,Короткие ручки,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,414000
INT M,Поясные сумки,BALENCIAGA,Ткань,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,47500
INT S,Сумки через плечо,GUCCI,Кожа,Розовый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,130000
INT L,Сумки тоут,KENZO,Кожа,Белый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,22500
INT S,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,65000
INT S,Сумки с короткими ручками,rodo,Ткань,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,1,1,Дорогие,Произведенные на фабрике,0,55000
INT U,Сумки через плечо,JACQUEMUS,Деним,Синий,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,60000
INT S,Сумки через плечо,CHANEL PRE-OWNED,Лакированная кожа,Серый,Длинный ремень,0,Отличное состояние,WOC,0,0,0,Люксовые,Произведенные на фабрике,1,180000
INT M,Рюкзаки,PRADA,Другое,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,55000
INT S,Сумки через плечо,CHLOE,Кожа,Коралловый,Длинный ремень,1,Отличное состояние,Ordinary,0,0,1,Дорогие,Произведенные на фабрике,0,80000
INT M,Рюкзаки,COACH,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,23000
